step,tokens_seen,train_loss,eval_loss,eval_ppl,lr,grad_norm,tokens_per_sec,wall_s
25,6553600,1.8406666564941405,,,1.672473867595819e-05,1.5225577354431152,46727.8,140.3
50,13107200,1.8346705627441406,,,3.414634146341464e-05,1.6919926404953003,46679.6,280.8
75,19660800,1.8095477294921876,,,5.156794425087108e-05,2.1356606483459473,46509.6,422.7
100,26214400,1.803331298828125,,,6.898954703832753e-05,1.410362958908081,46668.4,561.7
125,32768000,1.7918624877929688,,,8.641114982578398e-05,1.4752254486083984,46939.1,698.1
150,39321600,1.7699290466308595,,,0.00010383275261324041,1.3493176698684692,46921.8,838.0
175,45875200,1.7520684814453125,,,0.00012125435540069687,1.2988418340682983,46357.6,989.6
200,52428800,1.7431736755371094,,,0.0001386759581881533,1.5672835111618042,46180.4,1135.3
225,58982400,1.723162384033203,,,0.00015609756097560978,2.825045108795166,46244.3,1275.5
250,65536000,1.7151539611816407,,,0.0001735191637630662,0.9145234823226929,46178.4,1419.2
275,72089600,1.6999761962890625,,,0.00019094076655052267,2.459048271179199,46244.3,1558.9
300,78643200,1.6940672302246094,,,0.0002,1.1363178491592407,46486.6,1691.7
325,85196800,1.6831871032714845,,,0.0002,1.0989799499511719,46659.0,1825.9
350,91750400,1.6654542541503907,,,0.0002,1.2706557512283325,46864.9,1957.8
375,98304000,1.6605581665039062,,,0.0002,0.8872236013412476,47084.3,2087.8
400,104857600,1.6649322509765625,,,0.0002,1.1541507244110107,47270.7,2218.2
425,111411200,1.6493312072753907,,,0.0002,0.436828076839447,47439.7,2348.5
450,117964800,1.6042251586914062,,,0.0002,0.4073653221130371,47581.3,2479.2
475,124518400,1.5728443908691405,,,0.0002,0.3877277374267578,47714.7,2609.6
500,131072000,1.5541482543945313,,,0.0002,0.3922842741012573,47837.2,2740.0
525,137625600,1.5461679077148438,,,0.0002,0.3997608721256256,47948.4,2870.3
550,144179200,1.5266082763671875,,,0.0002,0.3591988980770111,48052.5,3000.5
575,150732800,1.5218733215332032,,,0.0002,0.3621119558811188,48166.6,3129.4
600,157286400,1.5105589294433595,,,0.0002,0.36654961109161377,48250.4,3259.8
625,163840000,1.5061723327636718,,,0.0002,0.3669475018978119,48329.4,3390.1
650,170393600,1.4991317749023438,,,0.0002,0.3589010536670685,48398.7,3520.6
675,176947200,1.4938613891601562,,,0.0002,0.37455251812934875,48464.7,3651.1
700,183500800,1.492353973388672,,,0.0002,0.3731216788291931,48531.1,3781.1
725,190054400,1.4829566955566407,,,0.0002,0.35010382533073425,48586.2,3911.7
750,196608000,1.4818397521972657,,,0.0002,0.3461436629295349,48643.7,4041.8
775,203161600,1.4777717590332031,,,0.0002,0.35432860255241394,48710.0,4170.8
800,209715200,1.4712277221679688,,,0.0002,0.3530728816986084,48758.9,4301.1
825,216268800,1.4771968078613282,,,0.0002,0.3411707878112793,48796.1,4432.1
850,222822400,1.4697824096679688,,,0.0002,0.3448837995529175,48809.1,4565.2
875,229376000,1.46172607421875,,,0.0002,0.3321365714073181,48825.1,4697.9
900,235929600,1.4625460815429687,,,0.0002,0.33825233578681946,48858.4,4828.8
925,242483200,1.4575941467285156,,,0.0002,0.34436699748039246,48899.4,4958.8
950,249036800,1.4552088928222657,,,0.0002,0.3318355679512024,48934.8,5089.2
975,255590400,1.450832061767578,,,0.0002,0.3403662145137787,48970.3,5219.3
1000,262144000,1.4469888305664063,,,0.0002,0.35466837882995605,49002.5,5349.6
1000,262144000,,1.4598649740219116,4.305,,,48688.0,5384.2
1025,268697600,1.4521601867675782,,,0.0002,0.3511820435523987,48703.8,5517.0
1050,275251200,1.4501559448242187,,,0.0002,0.3227957785129547,48755.6,5645.5
1075,281804800,1.4481439208984375,,,0.0002,0.3697439432144165,48792.3,5775.6
1100,288358400,1.4456478881835937,,,0.0002,0.3430674076080322,48828.2,5905.6
1125,294912000,1.4459651184082032,,,0.0002,0.3339318335056305,48859.8,6035.9
1150,301465600,1.444979248046875,,,0.0002,0.3594115376472473,48892.3,6165.9
1175,308019200,1.4435037231445313,,,0.0002,0.3399401009082794,48919.5,6296.4
1200,314572800,1.4362725830078125,,,0.0002,0.37127482891082764,48948.4,6426.6
1225,321126400,1.443639678955078,,,0.0002,0.3206140398979187,48975.4,6556.9
1250,327680000,1.4374687194824218,,,0.0002,0.3435361385345459,49012.1,6685.7
1275,334233600,1.4351101684570313,,,0.0002,0.33416852355003357,49034.0,6816.4
1300,340787200,1.4338078308105469,,,0.0002,0.32359129190444946,49060.7,6946.2
1325,347340800,1.4328404235839844,,,0.0002,0.3329553008079529,49083.4,7076.5
1350,353894400,1.4356910705566406,,,0.0002,0.33645978569984436,49105.9,7206.8
1375,360448000,1.4310763549804688,,,0.0002,0.3507542312145233,49126.1,7337.2
1400,367001600,1.4348776245117187,,,0.0002,0.33801743388175964,49145.3,7467.7
1425,373555200,1.4308535766601562,,,0.0002,0.3427577018737793,49164.4,7598.1
1450,380108800,1.4274459838867188,,,0.0002,0.3347587287425995,49184.3,7728.3
1475,386662400,1.4206109619140626,,,0.0002,0.38366472721099854,49211.3,7857.2
1500,393216000,1.4294354248046874,,,0.0002,0.32004213333129883,49228.9,7987.5
1525,399769600,1.424739227294922,,,0.0002,0.3584875166416168,49246.0,8117.8
1550,406323200,1.4252761840820312,,,0.0002,0.33957740664482117,49264.7,8247.8
1575,412876800,1.4134169006347657,,,0.0002,0.33841758966445923,49280.3,8378.1
1600,419430400,1.4204769897460938,,,0.0002,0.3255634903907776,49295.7,8508.5
1625,425984000,1.420476531982422,,,0.0002,0.33797428011894226,49311.7,8638.6
1650,432537600,1.4161126708984375,,,0.0002,0.32792919874191284,49326.1,8768.9
