task,task_type,model,seed,seq_len,epochs,bsz,primary,metrics_json
satp_relevant,multilabel,init,123,256,5,16,0.87554,"{""eb_f1"": 0.8755364806866953, ""eb_acc"": 0.8426323319027181, ""eb_prec"": 0.9012875536480687, ""eb_rec"": 0.8812589413447783, ""f1_micro"": 0.8571428571428571, ""f1_macro"": 0.8411321489503747, ""primary"": 0.8755364806866953}"
satp_relevant,multilabel,init,124,256,5,16,0.8711,"{""eb_f1"": 0.8711015736766808, ""eb_acc"": 0.8412017167381974, ""eb_prec"": 0.8948497854077253, ""eb_rec"": 0.8762517882689556, ""f1_micro"": 0.8592870544090057, ""f1_macro"": 0.8433398464945276, ""primary"": 0.8711015736766808}"
satp_relevant,multilabel,init,125,256,5,16,0.85966,"{""eb_f1"": 0.859656652360515, ""eb_acc"": 0.8261802575107297, ""eb_prec"": 0.8841201716738197, ""eb_rec"": 0.8676680972818313, ""f1_micro"": 0.8442776735459663, ""f1_macro"": 0.8153899002834913, ""primary"": 0.859656652360515}"
insightCrime,multilabel,init,123,512,5,8,0.6539,"{""eb_f1"": 0.6538961038961039, ""eb_acc"": 0.6098484848484849, ""eb_prec"": 0.739952718676123, ""eb_rec"": 0.7231934731934733, ""f1_micro"": 0.6902404526166902, ""f1_macro"": 0.6918877916139763, ""primary"": 0.6538961038961039}"
insightCrime,multilabel,init,124,512,5,8,0.65891,"{""eb_f1"": 0.6589071038251365, ""eb_acc"": 0.6224043715846994, ""eb_prec"": 0.7359154929577465, ""eb_rec"": 0.7103729603729604, ""f1_micro"": 0.6914285714285714, ""f1_macro"": 0.6940809233808373, ""primary"": 0.6589071038251365}"
insightCrime,multilabel,init,125,512,5,8,0.64956,"{""eb_f1"": 0.6495642701525054, ""eb_acc"": 0.6089324618736383, ""eb_prec"": 0.7364066193853429, ""eb_rec"": 0.7039627039627039, ""f1_micro"": 0.6829268292682927, ""f1_macro"": 0.6931822131547862, ""primary"": 0.6495642701525054}"
IndiaPoliceEvents_docs,multilabel,init,123,512,5,16,0.60598,"{""eb_f1"": 0.6059800664451828, ""eb_acc"": 0.5717054263565892, ""eb_prec"": 0.7867647058823529, ""eb_rec"": 0.6904761904761906, ""f1_micro"": 0.7400881057268722, ""f1_macro"": 0.6231031543052004, ""primary"": 0.6059800664451828}"
IndiaPoliceEvents_docs,multilabel,init,124,512,5,16,0.61197,"{""eb_f1"": 0.6119701213818861, ""eb_acc"": 0.577843137254902, ""eb_prec"": 0.7887254901960784, ""eb_rec"": 0.6872294372294372, ""f1_micro"": 0.7368421052631579, ""f1_macro"": 0.6374648094297657, ""primary"": 0.6119701213818861}"
IndiaPoliceEvents_docs,multilabel,init,125,512,5,16,0.57667,"{""eb_f1"": 0.5766666666666667, ""eb_acc"": 0.540625, ""eb_prec"": 0.8839285714285714, ""eb_rec"": 0.5941558441558441, ""f1_micro"": 0.7058823529411765, ""f1_macro"": 0.5953237998940729, ""primary"": 0.5766666666666667}"
