task,model,best_lr,n_seeds,mean_primary,sd_primary
re3d,ConfliBERT-v2-wsd-5b,0.00024,3,0.68292,0.00905
re3d,ConfliBERT-v2-wsd-5b-TAPT,0.00024,3,0.68453,0.01117
re3d,ConfliBERT-v2-wsd-TAPT,0.00024,3,0.69516,0.01033
re3d,ConfliBERT-v2-wsd-core,0.00016,3,0.69199,0.00455
re3d,ModernBERT-base,0.00016,3,0.68505,0.01634
satp_relevant,ConfliBERT-2021,3e-05,3,0.89351,0.00973
satp_relevant,ConfliBERT-v2-aug-wsd,8e-05,3,0.88293,0.01346
satp_relevant,ConfliBERT-v2-native,5e-05,3,0.86805,0.00659
satp_relevant,ConfliBERT-v2-wsd,5e-05,3,0.8711,0.00612
satp_relevant,ConfliBERT-v2-wsd-5b,8e-05,3,0.89099,0.00955
satp_relevant,ConfliBERT-v2-wsd-5b-TAPT,8e-05,3,0.88589,0.00414
satp_relevant,ConfliBERT-v2-wsd-TAPT,5e-05,3,0.88102,0.00615
satp_relevant,ConfliBERT-v2-wsd-core,8e-05,3,0.88097,0.00155
satp_relevant,ModernBERT-base,5e-05,3,0.8721,0.0124
