task,task_type,model,seed,seq_len,epochs,bsz,primary,metrics_json
re3d,ner,ModernBERT-base-lr5e-5,123,128,5,16,0.60548,"{""f1_micro"": 0.6054794520547945, ""f1_macro"": 0.4746854060914954, ""precision"": 0.5637755102040817, ""recall"": 0.6538461538461539, ""acc"": 0.8731456827691138, ""primary"": 0.6054794520547945, ""lr"": 5e-05}"
BBC_News,binary,ModernBERT-base-lr5e-5,123,512,5,16,0.95238,"{""acc"": 0.984472049689441, ""f1_micro"": 0.984472049689441, ""f1_macro"": 0.9715522572665429, ""f1"": 0.9523809523809523, ""mcc"": 0.9431665820639741, ""primary"": 0.9523809523809523, ""lr"": 5e-05}"
re3d,ner,ModernBERT-base-lr8e-5,123,128,5,16,0.64148,"{""f1_micro"": 0.6414835164835165, ""f1_macro"": 0.5429882506171233, ""precision"": 0.5987179487179487, ""recall"": 0.6908284023668639, ""acc"": 0.8824648155192089, ""primary"": 0.6414835164835165, ""lr"": 8e-05}"
BBC_News,binary,ModernBERT-base-lr8e-5,123,512,5,16,0.96296,"{""acc"": 0.9875776397515528, ""f1_micro"": 0.9875776397515528, ""f1_macro"": 0.9777501381978994, ""f1"": 0.9629629629629629, ""mcc"": 0.9557399202137318, ""primary"": 0.9629629629629629, ""lr"": 8e-05}"
