task,task_type,model,seed,seq_len,epochs,bsz,primary,metrics_json
cameo_ner,ner,ConfliBERT-v2-wsd-psfix,124,128,5,16,0.70337,"{""f1_micro"": 0.7033671833244254, ""f1_macro"": 0.6509513747019277, ""precision"": 0.669379450661241, ""recall"": 0.740990990990991, ""acc"": 0.9257224945073517, ""primary"": 0.7033671833244254, ""lr"": 8e-05, ""dev_primary"": 0.73699}"
cameo_ner,ner,ConfliBERT-v2-wsd-psfix,125,128,5,16,0.71311,"{""f1_micro"": 0.7131102578167856, ""f1_macro"": 0.6381566835184342, ""precision"": 0.6951871657754011, ""recall"": 0.7319819819819819, ""acc"": 0.9244549602839277, ""primary"": 0.7131102578167856, ""lr"": 8e-05, ""dev_primary"": 0.72359}"
cameo_ner,ner,ConfliBERT-v2-wsd-psfix,123,128,5,16,0.74111,"{""f1_micro"": 0.7411111111111112, ""f1_macro"": 0.6709706891004941, ""precision"": 0.731359649122807, ""recall"": 0.7511261261261262, ""acc"": 0.9262295081967213, ""primary"": 0.7411111111111112, ""lr"": 0.00016, ""dev_primary"": 0.75902}"
cameo_ner,ner,ConfliBERT-v2-wsd-psfix,124,128,5,16,0.7419,"{""f1_micro"": 0.741899441340782, ""f1_macro"": 0.6398538697216408, ""precision"": 0.7361419068736141, ""recall"": 0.7477477477477478, ""acc"": 0.927581544701707, ""primary"": 0.741899441340782, ""lr"": 0.00016, ""dev_primary"": 0.74777}"
cameo_ner,ner,ConfliBERT-v2-wsd-psfix,125,128,5,16,0.73673,"{""f1_micro"": 0.7367268746579091, ""f1_macro"": 0.673801286202861, ""precision"": 0.7167199148029819, ""recall"": 0.7578828828828829, ""acc"": 0.9300321108669934, ""primary"": 0.7367268746579091, ""lr"": 0.00016, ""dev_primary"": 0.7812}"
re3d,ner,ConfliBERT-v2-wsd-psfix,123,128,5,16,0.64738,"{""f1_micro"": 0.6473755047106325, ""f1_macro"": 0.5514110185128693, ""precision"": 0.5938271604938271, ""recall"": 0.7115384615384616, ""acc"": 0.8870292887029289, ""primary"": 0.6473755047106325, ""lr"": 8e-05, ""dev_primary"": 0.6572}"
re3d,ner,ConfliBERT-v2-wsd-psfix,124,128,5,16,0.66266,"{""f1_micro"": 0.6626586506346025, ""f1_macro"": 0.5225984887874707, ""precision"": 0.6041412911084044, ""recall"": 0.7337278106508875, ""acc"": 0.890833016356029, ""primary"": 0.6626586506346025, ""lr"": 8e-05, ""dev_primary"": 0.66844}"
re3d,ner,ConfliBERT-v2-wsd-psfix,125,128,5,16,0.64682,"{""f1_micro"": 0.6468200270635994, ""f1_macro"": 0.5371092823387869, ""precision"": 0.5960099750623441, ""recall"": 0.7071005917159763, ""acc"": 0.8841764929631039, ""primary"": 0.6468200270635994, ""lr"": 8e-05, ""dev_primary"": 0.65377}"
re3d,ner,ConfliBERT-v2-wsd-psfix,123,128,5,16,0.68332,"{""f1_micro"": 0.6833220796758948, ""f1_macro"": 0.5635637469960152, ""precision"": 0.6285714285714286, ""recall"": 0.7485207100591716, ""acc"": 0.8896918980600989, ""primary"": 0.6833220796758948, ""lr"": 0.00016, ""dev_primary"": 0.6875}"
re3d,ner,ConfliBERT-v2-wsd-psfix,124,128,5,16,0.68598,"{""f1_micro"": 0.6859838274932615, ""f1_macro"": 0.5746859414487477, ""precision"": 0.629950495049505, ""recall"": 0.7529585798816568, ""acc"": 0.8900722708254089, ""primary"": 0.6859838274932615, ""lr"": 0.00016, ""dev_primary"": 0.68383}"
re3d,ner,ConfliBERT-v2-wsd-psfix,125,128,5,16,0.67835,"{""f1_micro"": 0.6783546864463924, ""f1_macro"": 0.5819240236097996, ""precision"": 0.6232961586121437, ""recall"": 0.7440828402366864, ""acc"": 0.891403575503994, ""primary"": 0.6783546864463924, ""lr"": 0.00016, ""dev_primary"": 0.68905}"
re3d,ner,ModernBERT-base-psfix,123,128,5,16,0.63356,"{""f1_micro"": 0.6335570469798658, ""f1_macro"": 0.45315136229874725, ""precision"": 0.5798525798525799, ""recall"": 0.6982248520710059, ""acc"": 0.8811335108406239, ""primary"": 0.6335570469798658, ""lr"": 5e-05, ""dev_primary"": 0.63236}"
re3d,ner,ModernBERT-base-psfix,123,128,5,16,0.69802,"{""f1_micro"": 0.698023176550784, ""f1_macro"": 0.5966462055452045, ""precision"": 0.6472819216182049, ""recall"": 0.757396449704142, ""acc"": 0.897109166983644, ""primary"": 0.698023176550784, ""lr"": 0.00024, ""dev_primary"": 0.69939}"
re3d,ner,ConfliBERT-v2-wsd-psfix,123,128,5,16,0.59839,"{""f1_micro"": 0.5983935742971889, ""f1_macro"": 0.44224809988899416, ""precision"": 0.5464547677261614, ""recall"": 0.6612426035502958, ""acc"": 0.8748573602130088, ""primary"": 0.5983935742971889, ""lr"": 5e-05, ""dev_primary"": 0.6228}"
re3d,ner,ConfliBERT-v2-wsd-psfix,123,128,5,16,0.68556,"{""f1_micro"": 0.6855600539811065, ""f1_macro"": 0.5730772058713234, ""precision"": 0.630272952853598, ""recall"": 0.7514792899408284, ""acc"": 0.892544693799924, ""primary"": 0.6855600539811065, ""lr"": 0.00024, ""dev_primary"": 0.71381}"
re3d,ner,ConfliBERT-v2-wsd-psfix,124,128,5,16,0.67962,"{""f1_micro"": 0.6796246648793566, ""f1_macro"": 0.5735212832298989, ""precision"": 0.6213235294117647, ""recall"": 0.75, ""acc"": 0.892925066565234, ""primary"": 0.6796246648793566, ""lr"": 0.00024, ""dev_primary"": 0.70142}"
re3d,ner,ConfliBERT-v2-wsd-psfix,125,128,5,16,0.69137,"{""f1_micro"": 0.6913746630727764, ""f1_macro"": 0.6074994328378707, ""precision"": 0.6349009900990099, ""recall"": 0.7588757396449705, ""acc"": 0.894256371243819, ""primary"": 0.6913746630727764, ""lr"": 0.00024, ""dev_primary"": 0.70565}"
re3d,ner,ConfliBERT-v2-native-psfix,123,128,5,16,0.64749,"{""f1_micro"": 0.6474916387959867, ""f1_macro"": 0.47668087235693085, ""precision"": 0.590964590964591, ""recall"": 0.7159763313609467, ""acc"": 0.8849372384937239, ""primary"": 0.6474916387959867, ""lr"": 5e-05, ""dev_primary"": 0.65325}"
re3d,ner,ConfliBERT-v2-native-psfix,123,128,5,16,0.66483,"{""f1_micro"": 0.6648275862068965, ""f1_macro"": 0.5387175867038295, ""precision"": 0.6227390180878553, ""recall"": 0.7130177514792899, ""acc"": 0.8889311525294789, ""primary"": 0.6648275862068965, ""lr"": 8e-05, ""dev_primary"": 0.65947}"
re3d,ner,ConfliBERT-v2-native-psfix,123,128,5,16,0.68378,"{""f1_micro"": 0.6837837837837838, ""f1_macro"": 0.5844065798397636, ""precision"": 0.6293532338308457, ""recall"": 0.7485207100591716, ""acc"": 0.8902624572080639, ""primary"": 0.6837837837837838, ""lr"": 0.00016, ""dev_primary"": 0.6998}"
re3d,ner,ConfliBERT-v2-native-psfix,123,128,5,16,0.69272,"{""f1_micro"": 0.6927223719676551, ""f1_macro"": 0.5797572623280709, ""precision"": 0.6361386138613861, ""recall"": 0.7603550295857988, ""acc"": 0.895207303157094, ""primary"": 0.6927223719676551, ""lr"": 0.00024, ""dev_primary"": 0.7085}"
re3d,ner,ConfliBERT-v2-native-psfix,124,128,5,16,0.68641,"{""f1_micro"": 0.686406460296097, ""f1_macro"": 0.5930101229589941, ""precision"": 0.6296296296296297, ""recall"": 0.7544378698224852, ""acc"": 0.8855077976416889, ""primary"": 0.686406460296097, ""lr"": 0.00024, ""dev_primary"": 0.7047}"
re3d,ner,ConfliBERT-v2-native-psfix,125,128,5,16,0.67653,"{""f1_micro"": 0.6765299260255548, ""f1_macro"": 0.5532555569750325, ""precision"": 0.6202219482120839, ""recall"": 0.7440828402366864, ""acc"": 0.894826930391784, ""primary"": 0.6765299260255548, ""lr"": 0.00024, ""dev_primary"": 0.70748}"
re3d,ner,ConfliBERT-v2-wsd-core-psfix,123,128,5,16,0.60509,"{""f1_micro"": 0.6050870147255688, ""f1_macro"": 0.46960818234994883, ""precision"": 0.5525672371638142, ""recall"": 0.6686390532544378, ""acc"": 0.8779003423354887, ""primary"": 0.6050870147255688, ""lr"": 5e-05, ""dev_primary"": 0.62618}"
re3d,ner,ConfliBERT-v2-wsd-core-psfix,123,128,5,16,0.64512,"{""f1_micro"": 0.6451169188445668, ""f1_macro"": 0.516525154320207, ""precision"": 0.602827763496144, ""recall"": 0.6937869822485208, ""acc"": 0.8875998478508939, ""primary"": 0.6451169188445668, ""lr"": 8e-05, ""dev_primary"": 0.65813}"
