task,task_type,model,seed,seq_len,epochs,bsz,primary,metrics_json
IndiaPoliceEvents_sents,multilabel,ConfliBERT-v2-wsd-5b-TAPT,124,128,5,16,0.6753,"{""eb_f1"": 0.6753022452504317, ""eb_acc"": 0.6683937823834197, ""eb_prec"": 0.8455804046858358, ""eb_rec"": 0.7560738581146744, ""f1_micro"": 0.8130841121495327, ""f1_macro"": 0.7427912693119882, ""primary"": 0.6753022452504317, ""lr"": 5e-05, ""dev_primary"": 0.609}"
IndiaPoliceEvents_sents,multilabel,ConfliBERT-v2-wsd-5b-TAPT,125,128,5,16,0.69476,"{""eb_f1"": 0.6947594501718214, ""eb_acc"": 0.6877147766323024, ""eb_prec"": 0.8436853002070394, ""eb_rec"": 0.7876579203109815, ""f1_micro"": 0.827033218785796, ""f1_macro"": 0.786384399753319, ""primary"": 0.6947594501718214, ""lr"": 5e-05, ""dev_primary"": 0.62404}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-wsd-5b-TAPT,123,512,5,16,0.64884,"{""eb_f1"": 0.6488372093023256, ""eb_acc"": 0.6153100775193798, ""eb_prec"": 0.7893518518518517, ""eb_rec"": 0.7478354978354979, ""f1_micro"": 0.7521367521367521, ""f1_macro"": 0.6497424088913452, ""primary"": 0.6488372093023256, ""lr"": 5e-05, ""dev_primary"": 0.68731}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-wsd-5b-TAPT,124,512,5,16,0.64072,"{""eb_f1"": 0.64071696094168, ""eb_acc"": 0.5945692883895131, ""eb_prec"": 0.720464135021097, ""eb_rec"": 0.7932900432900433, ""f1_micro"": 0.7301587301587301, ""f1_macro"": 0.542492967494527, ""primary"": 0.64071696094168, ""lr"": 5e-05, ""dev_primary"": 0.68183}"
IndiaPoliceEvents_docs,multilabel,ConfliBERT-v2-wsd-5b-TAPT,125,512,5,16,0.63023,"{""eb_f1"": 0.6302325581395348, ""eb_acc"": 0.5968992248062016, ""eb_prec"": 0.8047619047619047, ""eb_rec"": 0.7077922077922078, ""f1_micro"": 0.726457399103139, ""f1_macro"": 0.5839677969089735, ""primary"": 0.6302325581395348, ""lr"": 5e-05, ""dev_primary"": 0.67558}"
cameo_class,multiclass,ConfliBERT-v2-wsd-5b-TAPT,123,256,5,16,0.85982,"{""acc"": 0.8691796008869179, ""f1_micro"": 0.8691796008869179, ""f1_macro"": 0.8598178140077977, ""primary"": 0.8598178140077977, ""lr"": 8e-05, ""dev_primary"": 0.98559}"
cameo_class,multiclass,ConfliBERT-v2-wsd-5b-TAPT,124,256,5,16,0.85161,"{""acc"": 0.8603104212860311, ""f1_micro"": 0.8603104212860311, ""f1_macro"": 0.8516101719251097, ""primary"": 0.8516101719251097, ""lr"": 8e-05, ""dev_primary"": 0.97472}"
cameo_class,multiclass,ConfliBERT-v2-wsd-5b-TAPT,125,256,5,16,0.84552,"{""acc"": 0.8558758314855875, ""f1_micro"": 0.8558758314855875, ""f1_macro"": 0.8455220800983513, ""primary"": 0.8455220800983513, ""lr"": 8e-05, ""dev_primary"": 0.97502}"
20news,binary,ConfliBERT-v2-wsd-5b-TAPT,123,512,5,16,0.76979,"{""acc"": 0.9409187466808284, ""f1_micro"": 0.9409187466808284, ""f1_macro"": 0.8679493123986816, ""f1"": 0.7697878944645629, ""mcc"": 0.7398231730377477, ""primary"": 0.7697878944645629, ""lr"": 3e-05, ""dev_primary"": 0.83789}"
20news,binary,ConfliBERT-v2-wsd-5b-TAPT,124,512,5,16,0.80178,"{""acc"": 0.9466277217206586, ""f1_micro"": 0.9466277217206586, ""f1_macro"": 0.8854687338294863, ""f1"": 0.8017751479289941, ""mcc"": 0.7716317774007863, ""primary"": 0.8017751479289941, ""lr"": 3e-05, ""dev_primary"": 0.83421}"
20news,binary,ConfliBERT-v2-wsd-5b-TAPT,125,512,5,16,0.81003,"{""acc"": 0.9496813595326606, ""f1_micro"": 0.9496813595326606, ""f1_macro"": 0.890512569586795, ""f1"": 0.8100250626566416, ""mcc"": 0.7825578450912837, ""primary"": 0.8100250626566416, ""lr"": 3e-05, ""dev_primary"": 0.82648}"
BBC_News,binary,ConfliBERT-v2-wsd-5b-TAPT,123,512,5,16,0.97143,"{""acc"": 0.9906832298136646, ""f1_micro"": 0.9906832298136646, ""f1_macro"": 0.9829313543599258, ""f1"": 0.9714285714285714, ""mcc"": 0.9659258476083835, ""primary"": 0.9714285714285714, ""lr"": 2e-05, ""dev_primary"": 0.99213}"
BBC_News,binary,ConfliBERT-v2-wsd-5b-TAPT,124,512,5,16,0.94231,"{""acc"": 0.9813664596273292, ""f1_micro"": 0.9813664596273292, ""f1_macro"": 0.9655982905982906, ""f1"": 0.9423076923076923, ""mcc"": 0.9314464444763577, ""primary"": 0.9423076923076923, ""lr"": 2e-05, ""dev_primary"": 0.98438}"
BBC_News,binary,ConfliBERT-v2-wsd-5b-TAPT,125,512,5,16,0.96296,"{""acc"": 0.9875776397515528, ""f1_micro"": 0.9875776397515528, ""f1_macro"": 0.9777501381978994, ""f1"": 0.9629629629629629, ""mcc"": 0.9557399202137318, ""primary"": 0.9629629629629629, ""lr"": 2e-05, ""dev_primary"": 0.98438}"
